feature_set,embedding,resample,model,val_accuracy,val_precision,val_recall,val_f1,val_f2,val_roc_auc,val_pr_auc,test_accuracy,test_precision,test_recall,test_f1,test_f2,test_roc_auc,test_pr_auc,best_params
L_T,sbert,original,LogisticRegression,0.9882286995515696,0.3333333333333333,0.03278688524590164,0.05970149253731343,0.04,0.8065195770113803,0.07888241435723535,0.9884177096954978,0.4,0.03278688524590164,0.06060606060606061,0.040160642570281124,0.782334609617982,0.07245576639136381,"{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}"
L_T,sbert,SMOTE,LogisticRegression,0.8690209267563528,0.05056179775280899,0.5901639344262295,0.09314359637774904,0.18828451882845187,0.7885893459663951,0.059094772879636236,0.856155426863441,0.035386631716906945,0.4426229508196721,0.06553398058252427,0.13406156901688182,0.7866869880921403,0.04396283521141007,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}"
L_T,sbert,ADASYN,LogisticRegression,0.8662182361733931,0.04951856946354883,0.5901639344262295,0.09137055837563451,0.18537590113285274,0.7902283803923147,0.06055020902750512,0.8531664487203438,0.03465982028241335,0.4426229508196721,0.06428571428571428,0.13196480938416422,0.7872569792944499,0.043782221653510055,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}"
A_L_T,sbert,original,LogisticRegression,0.9874813153961136,0.125,0.01639344262295082,0.028985507246376812,0.01984126984126984,0.8234211512900038,0.09652200288005426,0.9882308985615542,0.25,0.01639344262295082,0.03076923076923077,0.020161290322580645,0.8019435460887452,0.07188184909286198,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
A_L_T,sbert,SMOTE,LogisticRegression,0.8815396113602392,0.05023547880690738,0.5245901639344263,0.09169054441260745,0.18161180476730987,0.8074676763201353,0.07143896520655177,0.8653091724266766,0.0403899721448468,0.47540983606557374,0.07445442875481387,0.15072765072765074,0.8096446228764729,0.05011628813351901,"{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}"
A_L_T,sbert,ADASYN,LogisticRegression,0.8819133034379671,0.050393700787401574,0.5245901639344263,0.09195402298850575,0.1820250284414107,0.8060610191757732,0.0711731577361501,0.866056416962451,0.04061624649859944,0.47540983606557374,0.07483870967741936,0.151356993736952,0.8093503339404978,0.04980684068447583,"{'C': 100, 'penalty': 'l2', 'solver': 'liblinear'}"
L_T,sbert,original,RandomForest,0.8867713004484304,0.061191626409017714,0.6229508196721312,0.11143695014662756,0.21965317919075145,0.8671328671328671,0.09180396141120511,0.8686717728376612,0.03879310344827586,0.4426229508196721,0.071334214002642,0.14361702127659576,0.8061193512013184,0.04028379301819906,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 50}"
L_T,sbert,SMOTE,RandomForest,0.9886023916292974,0.5,0.13114754098360656,0.2077922077922078,0.15384615384615385,0.8358796719452457,0.21649329572928952,0.9876704651597236,0.3076923076923077,0.06557377049180328,0.10810810810810811,0.07782101167315175,0.7923326889954525,0.10633897409180434,"{'class_weight': None, 'max_depth': None, 'min_samples_split': 10, 'n_estimators': 100}"
L_T,sbert,ADASYN,RandomForest,0.9753363228699552,0.16822429906542055,0.29508196721311475,0.21428571428571427,0.2564102564102564,0.8641243559276346,0.2214626974231407,0.9730991967121241,0.08080808080808081,0.13114754098360656,0.1,0.11661807580174927,0.806314511232544,0.1125810732677741,"{'class_weight': None, 'max_depth': 20, 'min_samples_split': 2, 'n_estimators': 200}"
A_L_T,sbert,original,RandomForest,0.8925635276532138,0.06879194630872483,0.6721311475409836,0.1248097412480974,0.24404761904761904,0.8824728660794235,0.0827082062321401,0.8791331963385017,0.04643962848297214,0.4918032786885246,0.08486562942008487,0.16853932584269662,0.8036721063653148,0.04116925322185019,"{'class_weight': 'balanced', 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 50}"
A_L_T,sbert,SMOTE,RandomForest,0.9893497757847534,0.6666666666666666,0.13114754098360656,0.2191780821917808,0.15625,0.8516069663610647,0.2272325405875265,0.9889781430973286,0.6666666666666666,0.06557377049180328,0.11940298507462686,0.08,0.7571512211441954,0.10354839834149401,"{'class_weight': None, 'max_depth': None, 'min_samples_split': 2, 'n_estimators': 100}"
A_L_T,sbert,ADASYN,RandomForest,0.9398355754857997,0.11044776119402985,0.6065573770491803,0.18686868686868688,0.31951640759930916,0.8784233046528128,0.18841787439106333,0.926956846628059,0.056451612903225805,0.3442622950819672,0.09699769053117784,0.17045454545454544,0.8250529720084755,0.07589583802005684,"{'class_weight': None, 'max_depth': 10, 'min_samples_split': 5, 'n_estimators': 200}"
